Party,Year,Variables,Values,locality,division
CSV,2018,EICHER Emile (4),12956,Nord,Electoral district
CSV,2018,KAES Aly (5),12198,Nord,Electoral district
CSV,2018,SCHAAF Jean-Paul (7),11525,Nord,Electoral district
CSV,2018,BOONEN Jeff (2),10781,Nord,Electoral district
CSV,2018,WEILER Charles (9),10405,Nord,Electoral district
CSV,2018,NICKELS-THEIS Anne (6),9726,Nord,Electoral district
CSV,2018,CONZEMIUS Sonja (3),9131,Nord,Electoral district
CSV,2018,Suffrages total,111067,Nord,Electoral district
CSV,2018,Suffrages de liste,56862,Nord,Electoral district
CSV,2018,Suffrages nominatifs,54205,Nord,Electoral district
CSV,2018,Nombre de mandats attribués,4,Nord,Electoral district
KPL,2018,Pourcentage,0.0079341586715653,Nord,Electoral district
KPL,2018,HERMAN Alain (1),595,Nord,Electoral district
KPL,2018,SABOTIC Sanela (6),336,Nord,Electoral district
KPL,2018,TANI Vanessa (7),281,Nord,Electoral district
KPL,2018,WILLKOMM Pierre (9),279,Nord,Electoral district
KPL,2018,BARBERI Andy (2),265,Nord,Electoral district
KPL,2018,FUCHS Jordy (3),250,Nord,Electoral district
KPL,2018,NONNWEILER Roger (4),249,Nord,Electoral district
KPL,2018,REULAND Esther (5),248,Nord,Electoral district
KPL,2018,WALERS Alphonse (8),231,Nord,Electoral district
KPL,2018,Suffrages total,2734,Nord,Electoral district
KPL,2018,Suffrages de liste,1737,Nord,Electoral district
KPL,2018,Suffrages nominatifs,997,Nord,Electoral district
KPL,2018,Nombre de mandats attribués,0,Nord,Electoral district
DP,2018,Pourcentage,0.171333135995078,Nord,Electoral district
DP,2018,ETGEN Fernand (1),9819,Nord,Electoral district
DP,2018,BAULER André (3),9227,Nord,Electoral district
DP,2018,HANSEN Marc (2),8573,Nord,Electoral district
DP,2018,MERTENS Edy (7),7715,Nord,Electoral district
DP,2018,POIRÉ Mike (9),5463,Nord,Electoral district
DP,2018,GOERENS Stéphanie (4),4883,Nord,Electoral district
DP,2018,KOEUNE Marco (6),4757,Nord,Electoral district
DP,2018,KEISER Francine (5),4451,Nord,Electoral district
DP,2018,MULLER Marie (8),4151,Nord,Electoral district
DP,2018,Suffrages total,59039,Nord,Electoral district
DP,2018,Suffrages de liste,28593,Nord,Electoral district
DP,2018,Suffrages nominatifs,30446,Nord,Electoral district
DP,2018,Nombre de mandats attribués,2,Nord,Electoral district
ADR,2018,Pourcentage,0.0979465213328458,Nord,Electoral district
ADR,2018,ENGELEN Jeff (1),6094,Nord,Electoral district
ADR,2018,LEMAIRE Michel (2),4484,Nord,Electoral district
ADR,2018,AREND Guy (3),3690,Nord,Electoral district
ADR,2018,KIRSCH Carlo (7),3427,Nord,Electoral district
ADR,2018,FREYMANN Norbert (4),3311,Nord,Electoral district
ADR,2018,TURPEL Natalie (8),3283,Nord,Electoral district
ADR,2018,FUNCK Myriam (5),3228,Nord,Electoral district
ADR,2018,XHONNEUX Detlef (9),3120,Nord,Electoral district
ADR,2018,GIANNOTTE Joëlle (6),3114,Nord,Electoral district
ADR,2018,Suffrages total,33751,Nord,Electoral district
ADR,2018,Suffrages de liste,24867,Nord,Electoral district
ADR,2018,Suffrages nominatifs,8884,Nord,Electoral district
ADR,2018,Nombre de mandats attribués,1,Nord,Electoral district
déi Lénk,2018,Pourcentage,0.0353003314121874,Nord,Electoral district
déi Lénk,2018,CLEMENT Cathy (1),1845,Nord,Electoral district
déi Lénk,2018,FORGIARINI Thoma (2),1608,Nord,Electoral district
déi Lénk,2018,FOX Katy (3),1582,Nord,Electoral district
déi Lénk,2018,SCHUMANN Philippe (8),1572,Nord,Electoral district
déi Lénk,2018,SPIELMANN Jenny (9),1292,Nord,Electoral district
déi Lénk,2018,HOLLERICH Hubert (5),1127,Nord,Electoral district
déi Lénk,2018,GORZA Marie-Thérèse (4),1084,Nord,Electoral district
déi Lénk,2018,MEYER Karin (6),1047,Nord,Electoral district
déi Lénk,2018,SCHANNEL Nico (7),1007,Nord,Electoral district
déi Lénk,2018,Suffrages total,12164,Nord,Electoral district
déi Lénk,2018,Suffrages de liste,7236,Nord,Electoral district
déi Lénk,2018,Suffrages nominatifs,4928,Nord,Electoral district
déi Lénk,2018,Nombre de mandats attribués,0,Nord,Electoral district
PIRATEN,2018,Pourcentage,0.0698758499709652,Sud,Electoral district
PIRATEN,2018,GOERGEN Marc (1),9818,Sud,Electoral district
PIRATEN,2018,FLOR Starsky (2),6737,Sud,Electoral district
PIRATEN,2018,KOHL Martine (3),6071,Sud,Electoral district
PIRATEN,2018,LIESCH Camille (4),6025,Sud,Electoral district
PIRATEN,2018,KOHL Sylvie (6),5628,Sud,Electoral district
PIRATEN,2018,WELTER Christian (5),5619,Sud,Electoral district
PIRATEN,2018,DA GRAÇA DIAS Yanick (10),5307,Sud,Electoral district
PIRATEN,2018,WEBER Jules (7),5301,Sud,Electoral district
PIRATEN,2018,CHMELIK Libor (8),5247,Sud,Electoral district
PIRATEN,2018,DONDELINGER Marie-Paule (9),5211,Sud,Electoral district
